model,k,param,train,cv
DT,4,"(3, 2)",0.897,0.611
DT,4,"(3, 4)",0.897,0.611
DT,4,"(5, 2)",1.0,0.689
DT,4,"(5, 4)",1.0,0.664
DT,4,"(None, 2)",1.0,0.689
DT,4,"(None, 4)",1.0,0.664
RF,4,"(100, 3)",0.897,0.668
RF,4,"(100, 5)",1.0,0.614
RF,4,"(100, None)",1.0,0.614
RF,4,"(200, 3)",0.872,0.696
RF,4,"(200, 5)",1.0,0.614
RF,4,"(200, None)",1.0,0.614
XGB,4,"(100, 3, 0.05)",0.923,0.718
XGB,4,"(100, 3, 0.1)",0.949,0.718
XGB,4,"(100, 5, 0.05)",0.923,0.718
XGB,4,"(100, 5, 0.1)",0.949,0.718
XGB,4,"(200, 3, 0.05)",0.949,0.718
XGB,4,"(200, 3, 0.1)",0.949,0.693
XGB,4,"(200, 5, 0.05)",0.949,0.718
XGB,4,"(200, 5, 0.1)",0.949,0.693
DT,6,"(3, 2)",0.872,0.561
DT,6,"(3, 4)",0.872,0.561
DT,6,"(5, 2)",0.974,0.589
DT,6,"(5, 4)",0.974,0.564
DT,6,"(None, 2)",1.0,0.614
DT,6,"(None, 4)",0.974,0.589
RF,6,"(100, 3)",0.923,0.75
RF,6,"(100, 5)",1.0,0.621
RF,6,"(100, None)",1.0,0.65
RF,6,"(200, 3)",0.923,0.7
RF,6,"(200, 5)",1.0,0.675
RF,6,"(200, None)",1.0,0.65
XGB,6,"(100, 3, 0.05)",0.949,0.668
XGB,6,"(100, 3, 0.1)",0.949,0.668
XGB,6,"(100, 5, 0.05)",0.949,0.668
XGB,6,"(100, 5, 0.1)",0.949,0.668
XGB,6,"(200, 3, 0.05)",0.949,0.668
XGB,6,"(200, 3, 0.1)",0.949,0.693
XGB,6,"(200, 5, 0.05)",0.949,0.668
XGB,6,"(200, 5, 0.1)",0.949,0.693
DT,8,"(3, 2)",0.949,0.718
DT,8,"(3, 4)",0.923,0.718
DT,8,"(5, 2)",1.0,0.746
DT,8,"(5, 4)",0.974,0.746
DT,8,"(None, 2)",1.0,0.771
DT,8,"(None, 4)",0.974,0.771
RF,8,"(100, 3)",0.923,0.721
RF,8,"(100, 5)",1.0,0.75
RF,8,"(100, None)",1.0,0.75
RF,8,"(200, 3)",0.923,0.75
RF,8,"(200, 5)",1.0,0.75
RF,8,"(200, None)",1.0,0.75
XGB,8,"(100, 3, 0.05)",0.923,0.689
XGB,8,"(100, 3, 0.1)",0.949,0.689
XGB,8,"(100, 5, 0.05)",0.974,0.689
XGB,8,"(100, 5, 0.1)",0.949,0.689
XGB,8,"(200, 3, 0.05)",0.949,0.664
XGB,8,"(200, 3, 0.1)",0.974,0.639
XGB,8,"(200, 5, 0.05)",0.949,0.664
XGB,8,"(200, 5, 0.1)",0.974,0.639
DT,10,"(3, 2)",0.949,0.639
DT,10,"(3, 4)",0.923,0.639
DT,10,"(5, 2)",1.0,0.643
DT,10,"(5, 4)",0.974,0.643
DT,10,"(None, 2)",1.0,0.668
DT,10,"(None, 4)",0.974,0.668
RF,10,"(100, 3)",0.949,0.746
RF,10,"(100, 5)",1.0,0.796
RF,10,"(100, None)",1.0,0.796
RF,10,"(200, 3)",0.949,0.746
RF,10,"(200, 5)",1.0,0.746
RF,10,"(200, None)",1.0,0.771
XGB,10,"(100, 3, 0.05)",0.974,0.743
XGB,10,"(100, 3, 0.1)",0.974,0.768
XGB,10,"(100, 5, 0.05)",0.974,0.714
XGB,10,"(100, 5, 0.1)",0.974,0.768
XGB,10,"(200, 3, 0.05)",0.974,0.768
XGB,10,"(200, 3, 0.1)",0.974,0.768
XGB,10,"(200, 5, 0.05)",0.974,0.768
XGB,10,"(200, 5, 0.1)",0.974,0.768
DT,12,"(3, 2)",0.949,0.718
DT,12,"(3, 4)",0.923,0.718
DT,12,"(5, 2)",1.0,0.746
DT,12,"(5, 4)",0.974,0.746
DT,12,"(None, 2)",1.0,0.771
DT,12,"(None, 4)",0.974,0.771
RF,12,"(100, 3)",0.949,0.721
RF,12,"(100, 5)",1.0,0.721
RF,12,"(100, None)",1.0,0.721
RF,12,"(200, 3)",0.949,0.721
RF,12,"(200, 5)",1.0,0.721
RF,12,"(200, None)",1.0,0.721
XGB,12,"(100, 3, 0.05)",0.974,0.739
XGB,12,"(100, 3, 0.1)",0.974,0.768
XGB,12,"(100, 5, 0.05)",0.949,0.739
XGB,12,"(100, 5, 0.1)",0.974,0.768
XGB,12,"(200, 3, 0.05)",0.974,0.768
XGB,12,"(200, 3, 0.1)",0.974,0.768
XGB,12,"(200, 5, 0.05)",0.974,0.768
XGB,12,"(200, 5, 0.1)",0.974,0.768
DT,14,"(3, 2)",0.949,0.718
DT,14,"(3, 4)",0.923,0.718
DT,14,"(5, 2)",1.0,0.718
DT,14,"(5, 4)",0.974,0.718
DT,14,"(None, 2)",1.0,0.743
DT,14,"(None, 4)",0.974,0.743
RF,14,"(100, 3)",0.949,0.696
RF,14,"(100, 5)",1.0,0.696
RF,14,"(100, None)",1.0,0.721
RF,14,"(200, 3)",0.949,0.696
RF,14,"(200, 5)",1.0,0.721
RF,14,"(200, None)",1.0,0.721
XGB,14,"(100, 3, 0.05)",0.949,0.768
XGB,14,"(100, 3, 0.1)",0.974,0.743
XGB,14,"(100, 5, 0.05)",0.949,0.768
XGB,14,"(100, 5, 0.1)",0.974,0.743
XGB,14,"(200, 3, 0.05)",0.974,0.768
XGB,14,"(200, 3, 0.1)",1.0,0.743
XGB,14,"(200, 5, 0.05)",0.974,0.768
XGB,14,"(200, 5, 0.1)",1.0,0.714
