,Record_ID,Data_Type,Formulation_ID,Formulation_Name,Chemical_Name,CASRN,DTXSID,Percent_Active_Ingredient,Concentration,Concentration_Units,Mixture,Species,Reported_Strain,Strain,Sex,Assay,Endpoint,Response,Response_Unit,Reference,SMILES,Preferred_Name,Synonyms,URL_CompTox,URL_CEBS,label
82,skin_irritation_invivo_84,In Vivo,,,Propylene glycol,57-55-6,DTXSID0021206,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CC(O)CO,"1,2-Propylene glycol","57-55-6|1,2-Propylene glycol|(.+-.)-1,2-Propanediol|(.+-.)-Propylene glycol|(+-)-1,2-Propanediol|(+-)-Propylene glycol|(+/-) 1,2-Propanediol|(RS)-1,2-Propanediol|1,2-(RS)-Propanediol|1,2-DIHYDROXYPROPANE|1,2-PROPANDIOL|1,2-Propanediol|1,2-PROPYLENEGLYCOL|1,2-Propylenglykol|2-Hydroxypropanol|2,3-Propanediol|3-01-00-02142|a-Propylene glycol|Adeka PG|Adeka Propylene Glycol PG-P|Aliphatic alcohol|All purpose lubricant|alpha-Propylene glycol|alpha-propyleneglycol|BRN 1340498|Caswell No. 713|CH3CH(OH)CH2OH|Chilisa FE|DL-1,2-Propanediol|dl-Propylene glycol|Dowfrost|EINECS 200-338-0|EPA Pesticide Chemical Code 068603|FEMA No. 2940|General lube|Glycol|HOCH2CH(OH)CH3|HOCH2CH(OH)Me|Ilexan P|Inhibited 1,2-propylene glycol|Isopropylene glycol|MeCH(OH)CH2OH|Methyl ethylene glycol|methyl glycol|Methylethyl glycol|Methylethylene glycol|MONO PROPYLENE GLYCOL|Monopropylene glycol|NSC 69860|POLYESTER OF 1,2-PROPANEDIOL|PPD|Prolugen|Propan-1,2-diol|Propane-1,2-diol|Propanediol|propano-1,2-diol|PROPYLENE GLYCOL|Propylene glycol usp|PROPYLENE, GLYCOL|Propylen|1194046-20-2|190913-75-8|4254-16-4|63625-56-9",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021206,https://doi.org/10.22427/NTP-DATA-DTXSID0021206,0
100,skin_irritation_invivo_12,In Vivo,,,Heptanal,111-71-7,DTXSID0021597,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Irritant,Unitless,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,CCCCCCC=O,Heptanal,111-71-7|Heptanal|1-Heptaldehyde|1-Heptanal|Aldehyde C-7|Aldehyde C7|BRN 1560236|EINECS 203-898-4|Enanthal|Enanthaldehyde|Enanthic aldehyde|Enanthole|FEMA 2540|FEMA No. 2540|FEMA Number 2541|heptaldehyde|Heptan-1-al|Heptanaldehyde|Heptyl aldehyde|Heptylaldehyde|N-C6H13CHO|n-Heptaldehyde|N-Heptaldehyde [UN3056] [Flammable liquid]|n-Heptanal|n-Heptylaldehyde|NSC 2190|Oenanthal|OENANTHALDEHYD|Oenanthaldehyde|Oenanthic aldehyde|Oenanthol|Oenanthole|UN 3056|UNII-92N104S3HF,https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021597,https://doi.org/10.22427/NTP-DATA-DTXSID0021597,1
130,skin_irritation_invivo_33,In Vivo,,,Isopropyl myristate,110-27-0,DTXSID0026838,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CCCCCCCCCCCCCC(=O)OC(C)C,Isopropyl tetradecanoate,"110-27-0|Isopropyl tetradecanoate|1-Methylethyl tetradecanoate|1-Tridecanecarboxylic acid, isopropyl ester|203-751-4|Bisomel|BRN 1781127|Caswell No. 511E|Crodacol IPM|Crodamol 1PM|Crodamol I.P.M.|Crodamol IPM|D 50|D 50 (emollient)|Deltyl Extra|Deltylextra|EC No.: 203-751-4|EINECS 203-751-4|Emcol IM|Emcol-IM|Emerest 2314|EPA Pesticide Chemical Code 000207|Estergel|Estergel (TN)|Estol 1512|Estol 1514|Estol IPM 1512|Exceparl IPM|Exceparl IPML|FEMA 3556|FEMA No. 3556|IPM|IPM 100|IPM-EX|IPM-R|Iso-propyl N-tetradecanoate|Isomyst|isopropyl myristate|Isopropyl myristate-PM|Isopropyl tetradecanoic acid|Isopropylmyristat|JA-FA IPM|Kessco IPM|Kessco isopropyl myristate|Kesscomir|Kollicream IPM|Lexol IPM|Liponate IPM|Matlube IPM-S|Methylethyl tetradecanoate|miristato de isopropilo|Myristate d'isopropyle|MYRISTATE, ISOPROPYL|Myristic acid isopropyl ester|Myristic acid, isopropyl ester|MYRISTINSAEURE-ISOPROPYLESTER|Nikkol IPM|Nikkol IPM 100|Nikkol IPM-EX|NSC 406280|Pastell IP 14|Pelemol IPM|Plymoutm IPM|Promyr|Propan-2-yl tetradecanoate|Radia 7190|Radia 77|1405-98-7|852553-53-8",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0026838,,0
132,skin_irritation_invivo_67,In Vivo,,,di-Propylene glycol,25265-71-8,DTXSID0027856,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,"C*.C*.OCCOCCO |lp:4:2,7:2,10:2,m:1:5.6,3:8.9|",Dipropylene glycol,"25265-71-8|Dipropylene glycol|1,1'-Oxybis(2-propanol)|4-Oxa-2,6-heptandiol|ADK DPG-RF|Caswell No. 399E|DIPROPYLENEGLYCOL|DIPROPYLENGLYKOL|Dowanol DPG|EINECS 246-770-3|EPA Pesticide Chemical Code 068604|oxidipropanol|Oxybispropanol|Oxydipropanol|Propanol, oxybis-|UNII-E107L85C40|25322-23-0|27941-90-8|27941-91-9|28678-26-4|30370-61-7|75047-14-2|78644-49-2",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0027856,https://doi.org/10.22427/NTP-DATA-DTXSID0027856,0
146,skin_irritation_invivo_63,In Vivo,,,Sodium hydroxide,1310-73-2,DTXSID0029634,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Irritant/Possible corrosive,Unitless,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,[OH-].[Na+],Sodium hydroxide,"1310-73-2|Sodium hydroxide|Aetznatron|ANHYDROUS|ASCARITE|Caswell No. 773|CAUSTIC SODA|CAUSTIC SODA FLAKES|Caustic soda, liquid|Collo-Grillrein|Collo-Tapetta|EINECS 215-185-5|EPA Pesticide Chemical Code 075603|Fuers Rohr|hidroxido de sodio|Hydroxyde de sodium|Lewis-red devil lye|Liquid-plumr|Na(OH)|NaOH|Natrium causticum|Natrium-hydroxid, reinstes|Natriumhydroxid|Natriumhydroxyde|NATRONLAUGE 1-5%|NATRONLAUGE UEBER 5%|NSC 135799|Rohrputz|Rohrreiniger Rofix|Soda lye|Soda, caustic|Soda, hydrate|Soda, kaustische|Sodio(idrossido di)|SODIUM HYDRATE|Sodium hydroxide (Na(OH))|Sodium Hydroxide AR (1KG/BT)|Sodium hydroxide dimer|Sodium hydroxide,|Sodium(hydroxyde de)|soude caustique|StamperPrep|Tosoh Pearl|UN 1823|UN 1824|UNII-55X04QC32I|White caustic|8012-01-9",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0029634,,1
229,skin_irritation_invivo_51,In Vivo,,,4-Methylthio benzaldehyde,3446-89-7,DTXSID0033047,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,CSC1=CC=C(C=O)C=C1,4-(Methylthio)benzaldehyde,"3446-89-7|4-(Methylthio)benzaldehyde|Benzaldehyde, 4-(methylthio)-|EINECS 222-365-7|942039-57-8",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0033047,,0
280,skin_irritation_invivo_15,In Vivo,,,Heptyl butyrate,5870-93-9,DTXSID0042038,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CCCCCCCOC(=O)CCC,Heptyl butyrate,"5870-93-9|Heptyl butyrate|BRN 1760253|Butanoic acid, heptyl ester|Butyric acid, heptyl ester|EINECS 227-526-5|FEMA No. 2549|Heptyl butanoate|Heptyl butyrate|UNII-6YF38H29F1",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0042038,,0
282,skin_irritation_invivo_27,In Vivo,,,Hydroxycitronellal,89-43-0,DTXSID0044579,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,COC(=O)C1=C(C=CC=C1)N=CCC(C)CCCC(C)(C)O,"Methyl 2-((7-hydroxy-3,7-dimethyloctylidene)amino)benzoate","89-43-0|Methyl 2-((7-hydroxy-3,7-dimethyloctylidene)amino)benzoate|201-908-1|Anthranilic acid, N-(7-hydroxy-3,7-dimethyloctylidene)-, methyl ester|Aurantine|Aurantiol|Aurantion|Aurantium|Benzoic acid, 2-[(7-hydroxy-3,7-dimethyloctylidene)amino]-, methyl ester|EC No.: 201-908-1|EINECS 201-908-1|Hydroxycitronellal / methyl anthranilate|Hydroxycitronellal methyl anthranilate|Hydroxycitronellylidene methyl anthranilate|Methyl 2-[(7-hydroxy-3,7-dimethyloctylidene)amino]benzoate|Methyl N-3,7-dimethyl-7-hydroxyoctylideneanthranilate|NSC 78483|61792-01-6",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0044579,,0
284,skin_irritation_invivo_47,In Vivo,,,Methyl caproate,106-70-7,DTXSID0047616,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CCCCCC(=O)OC,Methyl hexanoate,"106-70-7|Methyl hexanoate|BRN 1744683|Caproic acid methyl ester|Caproic acid, methyl ester|EINECS 203-425-1|FEMA 2708|FEMA No. 2708|Hexanoate de methyle|HEXANOATE, METHYL|hexanoato de metilo|Hexanoic acid methyl ester|Hexanoic acid, methyl ester|Hexanoic acid,methyl ester|Methyl caproate|Methyl capronate|Methyl ester of hexanoic acid|Methyl hexoate|Methyl hexylate|Methyl n-hexanoate|Methyl N-hexoate|Methylhexanoat|N-Caproic acid methyl ester|NSC 5023|UNII-246364VPJS",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0047616,,0
305,skin_irritation_invivo_41,In Vivo,,,1-(2-Isopropylphenyl)-1-phenyle- thane (Mixture of isomers),191044-60-7,DTXSID00889094,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,CC(C)C1=CC=CC=C1C(C)C1=CC=CC=C1,"Benzene, 1-(1-methylethyl)-2-(1-phenylethyl)-","191044-60-7|Benzene, 1-(1-methylethyl)-2-(1-phenylethyl)-",https://comptox.epa.gov/dashboard/chemical/details/DTXSID00889094,,0
